short_name,pace,shooting,passing,dribbling,defending,physical,player_traits
K. Mbappé,97,89,80,90,41,77,"Quick Step, Finesse Shot, Acrobatic, Low Driven Shot, Gamechanger, Rapid, First Touch, One Club Player"
M. Salah,88,86,86,90,47,76,"Finesse Shot, Low Driven Shot, Gamechanger, Whipped Pass, Inventive, Technical, First Touch, One Club Player"
J. Bellingham,80,85,81,87,78,86,"Relentless, Low Driven Shot, Gamechanger, Inventive, Slide Tackle, Technical, First Touch, Injury Prone"
E. Haaland,85,91,70,78,48,87,"Low Driven Shot, Chip Shot, Power Shot, Precision Header, Acrobatic, Gamechanger, Enforcer"
Rodri,65,80,86,80,84,85,"Tiki Taka, Power Shot, Long Ball Pass, Aerial Fortress, Press Proven, Bruiser, Injury Prone"
O. Dembélé,91,88,83,90,51,71,"Rapid, Low Driven Shot, Pinged Pass, Inventive, Trickster, Quick Step"
V. van Dijk,72,57,69,68,89,85,"Intercept, Precision Header, Pinged Pass, Jockey, Anticipate, Aerial Fortress, Bruiser, One Club Player"
Lamine Yamal,85,80,87,88,24,55,"Technical, Finesse Shot, Gamechanger, Incisive Pass, Inventive, First Touch, Quick Step"
F. Wirtz,80,82,87,88,51,68,"Incisive Pass, Finesse Shot, Chip Shot, Low Driven Shot, Inventive, Technical, First Touch"
Vitinha,72,76,85,89,71,72,"Technical, Finesse Shot, Incisive Pass, Long Ball Pass, Tiki Taka, Intercept, Relentless"
Pedri,77,72,84,90,75,76,"First Touch, Incisive Pass, Long Ball Pass, Tiki Taka, Technical, Relentless"
F. Valverde,88,85,83,81,80,84,"Relentless, Power Shot, Long Ball Pass, Intercept, Slide Tackle, Aerial Fortress, Rapid, Injury Prone"
Vini Jr.,95,82,81,89,30,70,"Quick Step, Finesse Shot, Chip Shot, Gamechanger, Inventive, Rapid, First Touch"
A. Hakimi,92,79,80,83,80,82,"Relentless, Low Driven Shot, Whipped Pass, Jockey, Anticipate, Press Proven, Quick Step, One Club Player"
Raphinha,90,82,84,86,54,78,"Rapid, Finesse Shot, Power Shot, Trickster, Quick Step, Relentless"
G. Donnarumma,52,21,30,48,17,54,"Deflector, Footwork, One Club Player"
Alisson,54,25,44,46,18,54,"Rush Out, Far Throw, Deflector"
J. Kimmich,72,75,88,84,82,81,"Long Ball Pass, Finesse Shot, Whipped Pass, Anticipate, Press Proven, Relentless"
H. Kane,64,91,82,80,52,82,"Finesse Shot, Precision Header, Low Driven Shot, Gamechanger, Long Ball Pass, First Touch"
T. Courtois,47,22,29,46,16,49,"Cross Claimer, Far Throw, Rush Out"
J. Musiala,80,82,79,91,66,68,"Technical, Precision Header, Low Driven Shot, Gamechanger, Incisive Pass, Inventive, Trickster"
B. Saka,84,81,85,87,58,73,"Whipped Pass, Finesse Shot, Technical"
A. Isak,83,87,72,80,43,77,"Finesse Shot, Power Shot, Low Driven Shot, Gamechanger, Rapid, First Touch"
Gabriel,64,44,63,62,88,83,"Bruiser, Precision Header"
L. Martínez,81,89,76,86,54,86,"Gamechanger, Power Shot, Precision Header, Incisive Pass, Technical, Relentless, Enforcer"
J. Oblak,47,21,35,47,19,57,"Cross Claimer, Far Throw, Far Reach"
R. Lewandowski,73,87,78,84,46,84,"Chip Shot, Finesse Shot, Power Shot, Precision Header, Low Driven Shot, Incisive Pass, First Touch, One Club Player"
C. Palmer,75,81,86,84,50,67,"Inventive, Finesse Shot, Low Driven Shot, Gamechanger, Incisive Pass, Technical, First Touch, One Club Player"
M. Caicedo,71,65,77,81,82,83,"Slide Tackle, Pinged Pass, Tiki Taka, Intercept, Anticipate, Press Proven, Relentless, One Club Player, Injury Prone"
Nuno Mendes,94,73,76,84,80,80,"Quick Step, Pinged Pass, Whipped Pass, Jockey, Anticipate, Rapid"
K. Kvaratskhelia,85,79,83,86,57,79,"Inventive, Finesse Shot, Gamechanger, Incisive Pass, Technical, Trickster"
J. Alvarez,85,86,81,87,58,82,"Press Proven, Finesse Shot, Dead Ball"
W. Saliba,77,41,66,67,86,83,"Anticipate, Long Ball Pass, Jockey"
